State,Number of CoCs,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Year
PR,2,2451,110,79,517,1924,10,56,2395,1039,465,3,16,6,2020
RI,1,1104,238,48,431,667,5,857,247,656,322,6,24,6,2020
SC,4,4287,518,256,1579,2699,5,4172,115,1887,2160,12,55,6,2020
SD,1,1058,215,83,448,607,3,977,81,265,65,2,699,0,2020
TN,10,7256,998,397,2602,4637,14,7068,188,4091,2849,29,66,30,2020
TX,11,27229,4048,1663,10080,17067,61,19684,7545,15778,10001,206,346,89,2020
UT,3,3131,635,239,1250,1863,14,2362,769,2367,332,36,162,58,2020
VA,16,5957,1266,360,2395,3547,12,5465,492,2233,3169,98,62,16,2020
,1,304,0,6,98,201,0,260,44,33,232,0,6,0,2020
VT,2,1110,216,127,498,600,8,1069,41,983,62,9,6,4,2020
WA,6,22923,4115,1913,9426,13094,175,19863,3060,13904,3953,332,2544,653,2020
WI,4,4515,1196,293,1887,2615,13,4115,400,2426,1572,46,201,15,2020
WV,4,1341,122,115,522,818,1,1311,30,1097,181,3,11,3,2020
WY,1,612,143,92,268,344,0,536,76,510,38,0,39,3,2020
,392,580466,106364,45243,223578,352211,3161,450107,130348,280612,228796,7638,18935,8794,2020
AK,2,1949,302,305,672,1272,5,1841,108,599,141,27,856,61,2021
AL,8,2556,312,74,789,1281,6,1895,182,934,1067,6,12,1,2021
AR,5,2139,193,165,818,1319,0,2006,133,1490,552,9,49,5,2021
AS,0,19416,3904,1622,7602,11646,86,15109,4262,9353,7706,235,579,303,2021
AZ,3,5460,1387,347,2359,3074,21,3994,1466,3140,1391,45,429,19,2021
CA,44,57468,12424,4288,25230,31319,338,37413,19600,33081,17122,1157,1729,753,2021
CO,4,8544,1545,457,3238,5266,21,6049,2495,5589,1736,42,384,150,2021
CT,2,2593,385,184,987,1596,8,1893,700,1267,994,17,33,14,2021
DC,1,5111,752,502,1836,3215,43,4849,262,401,4487,38,22,18,2021
DE,1,1579,509,122,760,817,2,1465,114,551,967,6,2,4,2021
FL,27,21121,3497,940,6845,11438,30,15659,2693,10716,7666,85,969,80,2021
GA,9,5486,1265,347,2259,2884,23,4988,271,1316,3722,41,13,13,2021
GU,1,199,102,14,103,96,0,196,3,0,2,2,0,184,2021
HI,2,2490,766,157,1148,1328,11,2135,355,437,87,160,12,994,2021
IA,3,2534,501,185,1008,1521,3,2301,233,1753,521,41,89,13,2021
ID,2,1889,552,144,484,530,3,863,154,890,37,4,44,4,2021
IL,19,7958,1828,804,3373,4370,25,6843,931,2688,4657,78,64,24,2021
IN,2,4975,845,295,1865,3093,10,4738,237,3110,1619,43,40,19,2021
KS,5,1803,277,152,694,1101,6,1608,195,1181,397,13,68,11,2021
KY,3,2544,372,203,1008,1530,3,2420,124,1659,741,15,16,8,2021
LA,7,2131,298,146,612,1029,8,1603,46,587,975,7,21,7,2021
MA,12,15079,5900,1165,7535,7487,31,9593,5140,8255,5140,160,62,87,2021
MD,12,4550,785,375,1747,2759,14,4139,382,1460,2776,40,32,27,2021
ME,1,2063,461,138,952,1099,8,2009,54,1657,268,10,31,3,2021
MI,20,6757,1828,565,2947,3739,15,6328,380,2929,3326,46,69,11,2021
MN,10,6775,1870,713,3066,3668,26,6196,579,2521,2914,176,550,30,2021
MO,8,4926,1173,443,2162,2544,16,4509,221,2639,1717,27,56,20,2021
MP,1,2,0,0,2,0,0,2,0,0,0,1,0,0,2021
MS,3,626,51,35,254,370,1,596,30,338,266,2,4,0,2021
MT,1,1801,259,72,487,678,1,1078,90,843,62,2,187,8,2021
NC,12,7249,1484,437,2936,4189,15,6822,320,2527,4254,36,75,17,2021
ND,1,548,126,57,237,309,1,491,57,272,88,4,134,2,2021
NE,3,1935,326,147,718,1210,5,1677,258,1271,430,26,75,12,2021
NH,3,1491,320,123,645,843,3,1324,167,1303,90,16,3,4,2021
NJ,16,8262,1672,537,3342,4905,15,6567,1695,3144,4669,66,72,42,2021
NM,2,2747,521,207,1072,1646,21,1388,1359,1701,199,12,670,26,2021
NV,3,7090,367,354,1879,4180,21,5014,1073,3424,1797,141,174,76,2021
NY,24,78920,22349,6712,34613,43729,461,52219,26627,17891,54206,886,461,1370,2021
OH,9,7915,1781,671,3338,4549,26,7513,402,3663,3776,44,35,26,2021
OK,8,2694,438,258,1078,1599,7,2464,230,1646,530,17,295,11,2021
OR,8,9048,992,672,3325,5629,43,7991,1057,7268,542,49,439,132,2021
PA,16,10339,2468,789,4356,5882,35,8941,1324,4435,5209,40,48,43,2021
PR,2,439,55,18,151,284,4,14,425,200,80,2,5,0,2021
RI,1,1267,290,96,522,739,6,960,307,777,320,5,22,9,2021
SC,4,3207,504,215,1182,1774,6,2871,93,1236,1577,8,22,5,2021
SD,1,817,200,88,356,458,1,768,49,256,56,7,479,5,2021
TN,10,6823,765,342,2298,4026,11,6195,160,4147,2017,19,28,11,2021
TX,11,17295,2981,1218,6647,10562,54,13010,4269,9238,7166,156,173,66,2021
UT,3,3565,496,153,1035,1357,10,1858,552,1889,252,26,102,44,2021
VA,16,5812,1190,336,2353,3310,17,5191,495,2282,2905,108,34,18,2021
,1,177,1,1,50,127,0,162,15,5,166,2,2,0,2021
VT,2,2591,360,267,1167,1410,8,2480,111,2266,179,25,31,4,2021
WA,6,11511,2811,907,4957,6436,77,9703,1808,6871,2595,184,594,372,2021
WI,4,4237,1107,235,1816,2399,15,3862,375,2352,1374,27,194,18,2021
WV,4,1138,100,80,438,695,4,1115,23,934,140,4,7,3,2021
WY,1,405,116,32,239,165,0,375,30,360,8,0,13,10,2021
,388,380630,84259,28289,155990,212835,1544,290184,80459,173389,159975,4210,10030,4894,2021
AK,2,2320,328,203,892,1417,8,2206,114,818,121,42,851,186,2022
AL,8,3752,790,217,1633,2099,13,3545,173,1411,2151,20,32,7,2022
AR,5,2459,243,243,861,1589,4,2187,272,1681,645,16,52,5,2022
AS,0,19416,3904,1622,7602,11646,86,15109,4262,9353,7706,235,579,303,2022
AZ,3,13553,1723,1084,4884,8594,37,10122,3431,8811,2740,87,939,107,2022
CA,44,171521,15439,10896,58137,110089,1698,107965,63556,93943,52110,4003,7210,2492,2022
CO,4,10397,1339,575,3884,6374,67,7853,2544,6837,1741,55,600,213,2022
CT,2,2930,560,205,1177,1747,5,2002,928,1564,1135,18,32,18,2022
DC,1,4410,600,509,1636,2722,36,4155,255,403,3764,35,39,15,2022
DE,1,2369,769,200,1129,1234,2,2218,151,761,1454,14,6,2,2022
FL,27,25959,4189,1222,9225,16656,43,21654,4305,14152,10474,106,249,153,2022
GA,9,10689,1785,616,4193,6444,16,10073,616,4262,6051,44,45,22,2022
GU,1,1087,374,114,505,581,1,1065,22,14,1,27,0,1014,2022
HI,2,5967,865,305,2291,3626,41,5209,758,1326,227,545,61,2239,2022
IA,3,2419,485,165,931,1472,7,2176,243,1594,532,46,85,10,2022
ID,2,1998,459,132,867,1123,6,1631,367,1716,47,10,123,20,2022
IL,19,9212,1902,897,3620,5533,37,8134,1078,3344,5389,69,65,22,2022
IN,2,5449,1012,335,2207,3214,14,5175,274,3265,1862,37,60,29,2022
KS,5,2397,369,161,943,1427,12,2132,265,1582,500,10,75,11,2022
KY,3,3984,608,279,1555,2409,13,3815,169,2887,899,10,28,18,2022
LA,7,7373,2262,211,3198,4144,13,6982,391,2200,5054,16,35,13,2022
MA,12,15507,5977,1187,7762,7669,33,9727,5780,8588,5855,144,84,111,2022
MD,11,5349,1080,354,2146,3174,18,5018,331,1845,3224,47,68,17,2022
ME,1,4411,1073,290,1883,2461,15,4275,136,2906,1258,18,52,8,2022
MI,20,8206,2164,624,3592,4591,22,7659,569,3840,3789,27,121,16,2022
MN,10,7917,1972,781,3453,4409,34,7201,716,2979,2925,170,1097,33,2022
MO,8,5992,1127,551,2511,3414,34,5640,352,3416,2126,24,77,21,2022
MP,1,1207,409,117,576,631,0,1207,0,7,0,438,0,758,2022
MS,3,1196,70,125,445,736,6,1171,25,513,650,3,8,10,2022
MT,1,1585,264,121,660,914,7,1450,135,1170,39,5,254,18,2022
NC,12,9382,1743,556,3949,5356,34,8747,635,3685,4970,90,146,33,2022
ND,1,610,116,45,233,371,1,549,61,256,89,4,225,2,2022
NE,3,2246,373,152,830,1398,12,1964,282,1479,499,36,109,9,2022
NH,3,1605,315,128,685,905,12,1457,148,1434,91,8,3,7,2022
NJ,16,8752,1833,650,3650,5085,15,6985,1767,3457,4887,64,83,52,2022
NM,2,2560,484,192,945,1575,11,1391,1169,1677,220,12,424,44,2022
NV,3,7618,522,392,2292,5258,23,6502,1116,4467,2298,128,208,167,2022
NY,24,74178,20299,6399,31997,41662,456,48633,25545,16787,51036,794,567,1017,2022
OH,9,10654,2098,930,4434,6151,56,10195,459,5406,4608,46,73,19,2022
OK,8,3754,528,360,1496,2220,18,3418,336,2072,806,30,519,37,2022
OR,8,17959,2157,987,6671,10931,131,15876,2083,13960,1172,101,880,227,2022
PA,16,12691,2974,943,5373,7260,42,10877,1814,5864,5927,65,91,93,2022
PR,2,2215,112,87,476,1648,5,75,2140,992,466,0,7,0,2022
RI,1,1577,317,101,622,940,9,1229,348,1030,384,8,37,5,2022
SC,4,3608,539,251,1352,2235,14,3475,133,1570,1831,16,32,12,2022
SD,1,1389,281,96,563,818,4,1308,81,341,63,5,952,0,2022
TN,10,10567,1460,629,4421,6107,17,10178,389,7105,3142,26,50,30,2022
TX,11,24432,3791,1508,9076,15205,79,16622,7810,14311,8459,234,376,69,2022
UT,3,3557,697,235,1420,2107,9,2773,784,2703,290,33,242,89,2022
VA,16,6529,1418,413,2621,3853,26,5957,572,2761,3269,107,47,10,2022
,1,175,1,1,37,138,0,151,24,10,159,2,2,0,2022
VT,2,2780,481,221,1219,1543,9,2641,139,2448,177,14,25,6,2022
WA,6,25211,4044,1661,8927,15707,339,21271,3940,15237,4219,305,1854,925,2022
WI,4,4775,1228,311,2098,2651,18,4368,407,2812,1391,45,219,13,2022
WV,4,1375,90,131,531,829,5,1350,25,1197,124,2,10,5,2022
WY,1,648,106,79,256,390,1,581,67,499,26,0,89,2,2022
,387,582462,98244,40177,222970,352836,3588,442220,140230,291395,217366,8261,19618,10461,2022
