FIPS,Year,CPI
6,2016,240.00716666666662
6,2017,245.11958333333334
6,2018,251.10683333333338
6,2019,255.65741666666668
6,2020,258.8111666666667
6,2021,270.96975000000003
6,2022,286.24375000000003
