Date,State,School,Fatalities,Wounded,Total
10/01/1997,Mississippi,HS,3,,3
10/01/1997,Mississippi,HS,3,7,10
10/14/1997,Texas,HS,1,,1
10/15/1997,Florida,MS,0,1,1
10/22/1997,California,HS,2,,2
11/13/1997,California,ES,1,,1
12/01/1997,Kentucky,HS,3,,3
12/01/1997,Kentucky,HS,3,5,8
12/15/1997,Arkansas,HS,2,,2
12/15/1997,Arkansas,HS,0,2,2
2/25/1998,Michigan,HS,1,,1
03/01/1998,Pennsylvania,C,1,3,4
3/24/1998,Arkansas,MS,5,,5
3/24/1998,Arkansas,MS,5,10,15
3/25/1998,Michigan,HS,1,,1
3/30/1998,North Carolina,MS,0,,0
4/24/1998,Pennsylvania,HS,1,,1
4/24/1998,Pennsylvania,MS,1,3,4
4/28/1998,California,ES,2,,2
05/01/1998,New York,ES,1,,1
5/19/1998,Tennessee,HS,1,,1
5/19/1998,Tennessee,HS,1,0,1
5/21/1998,Oregon,HS,4,,4
5/21/1998,California,HS,1,,1
5/21/1998,Oregon,HS,4,23,27
5/27/1998,California,MS,0,,0
5/29/1998,Florida,HS,2,,2
6/15/1998,Virginia,HS,0,,0
6/15/1998,Virginia,HS,0,2,2
09/04/1998,California,C,2,,2
09/12/1998,California,HS,0,,0
12/10/1998,Michigan,C,1,,1
12/10/1998,Michigan,C,1,0,1
01/08/1999,Georgia,HS,2,,2
01/08/1999,Georgia,HS,1,1,2
1/21/1999,Texas,HS,1,,1
02/11/1999,Illinois,HS,0,,0
4/16/1999,Idaho,HS,0,,0
4/16/1999,Idaho,HS,0,0,0
4/20/1999,Colorado,HS,15,,15
4/20/1999,Colorado,HS,15,21,36
4/23/1999,Georgia,MS,1,,1
5/20/1999,Georgia,HS,0,,0
5/20/1999,Georgia,HS,0,6,6
8/25/1999,Georgia,HS,1,,1
09/07/1999,Texas,HS,1,,1
09/09/1999,California,HS,1,,1
11/19/1999,New Mexico,MS,0,,0
11/19/1999,New Mexico,MS,1,0,1
12/06/1999,Oklahoma,MS,0,,0
12/06/1999,Oklahoma,MS,0,6,6
1/19/2000,Florida,HS,0,,0
2/29/2000,Michigan,ES,1,,1
2/29/2000,Michigan,ES,1,0,1
05/10/2000,Arizona,ES,2,,2
5/26/2000,Florida,MS,1,,1
5/26/2000,Florida,MS,1,0,1
6/28/2000,Washington,C,2,,2
7/26/2000,Ohio,HS,1,,1
8/28/2000,Arkansas,C,2,,2
8/28/2000,Arkansas,C,2,0,2
