Date,State,School,Fatalities,Wounded,Total
9/16/2020,California,HS,1,0,1
9/16/2020,Illinois,C,0,1,1
2/26/2021,Louisiana,HS,1,0,1
03/01/2021,Arkansas,MS,1,0,1
04/12/2021,Tennessee,HS,1,1,2
4/26/2021,Minnesota,MS,0,0,0
05/06/2021,Idaho,MS,0,3,3
8/13/2021,New Mexico,MS,1,0,1
8/18/2021,South Carolina,HS,0,3,3
8/27/2021,Virginia,HS,0,2,2
8/27/2021,Pennsylvania,HS,1,4,5
8/27/2021,North Carolina,HS,0,1,1
09/01/2021,North Carolina,HS,1,0,1
09/04/2021,Maryland,C,0,3,3
9/20/2021,Virginia,HS,0,4,4
9/21/2021,Kansas,HS,0,3,3
9/24/2021,Alabama,HS,0,1,1
9/30/2021,Tennessee,ES,0,1,1
9/30/2021,Mississippi,ES,0,1,1
10/01/2021,Texas,HS,0,1,1
10/06/2021,Texas,HS,0,4,4
10/12/2021,Illinois,HS,0,2,2
10/13/2021,Louisiana,C,1,1,2
10/17/2021,Louisiana,C,1,7,8
11/01/2021,Mississippi,HS,0,0,0
11/19/2021,Colorado,HS,0,3,3
11/26/2021,California,HS,0,2,2
11/29/2021,Arizona,HS,0,1,1
11/30/2021,Michigan,HS,4,7,11
11/30/2021,Tennessee,HS,1,2,3
12/06/2021,California,ES,1,2,3
12/08/2021,Missouri,MS,0,2,2
01/04/2022,Illinois,HS,0,2,2
01/09/2022,North Carolina,C,0,0,0
01/11/2022,New Mexico,HS,0,0,0
1/19/2022,Florida,HS,0,1,1
1/19/2022,Pennsylvania,HS,1,0,1
1/21/2022,Maryland,HS,0,1,1
1/29/2022,Wisconsin,HS,1,0,1
02/01/2022,Minnesota,HS,1,1,2
02/01/2022,Virginia,C,2,1,3
02/08/2022,Maryland,HS,0,1,1
03/04/2022,Kansas,HS,0,3,3
03/07/2022,Iowa,HS,1,2,3
3/31/2022,South Carolina,MS,1,0,1
04/05/2022,Pennsylvania,HS,0,1,1
4/22/2022,District of Columbia,HS,0,4,4
05/09/2022,Georgia,,0,1,1
5/17/2022,Illinois,ES,0,1,1
5/24/2022,Texas,ES,22,15,37
5/31/2022,Louisiana,C,1,2,3
06/01/2022,California,ES,0,1,1
8/19/2022,Tennessee,HS,0,0,0
8/19/2022,Ohio,HS,0,0,0
8/29/2022,California,HS,0,1,1
09/03/2022,Delaware,C,0,4,4
9/24/2022,Minnesota,HS,0,2,2
9/27/2022,Pennsylvania,HS,1,4,5
9/28/2022,California,HS,0,4,4
9/30/2022,Oklahoma,HS,1,3,4
9/30/2022,New York,HS,0,3,3
10/05/2022,Arizona,C,1,0,1
10/07/2022,Ohio,HS,0,3,3
10/08/2022,Maryland,C,0,1,1
10/24/2022,Missouri,HS,3,7,10
11/04/2022,Connecticut,C,0,1,1
11/08/2022,Washington,HS,1,0,1
11/12/2022,Florida,HS,1,2,3
11/13/2022,Virginia,C,3,2,5
11/17/2022,Indiana,C,0,1,1
11/19/2022,New Mexico,C,1,1,2
11/27/2022,Florida,C,1,4,5
12/08/2022,North Carolina,MS,0,0,0
01/04/2023,Michigan,ES,1,0,1
01/05/2023,New York,HS,0,0,0
01/06/2023,Virginia,ES,0,1,1
01/07/2023,Oregon,HS,0,1,1
01/10/2023,Kentucky,ES,0,1,1
1/23/2023,Iowa,HS,2,1,3
02/06/2023,Delaware,HS,0,0,0
2/13/2023,Michigan,C,4,5,9
2/13/2023,New York,ES,0,0,0
2/14/2023,Pennsylvania,HS,0,4,4
2/24/2023,Florida,C,0,0,0
03/03/2023,South Carolina,C,0,1,1
03/11/2023,Maine,C,0,0,0
3/20/2023,Texas,HS,1,1,2
3/22/2023,Texas,HS,0,1,1
3/22/2023,Colorado,HS,1,2,3
3/25/2023,South Carolina,C,0,0,0
3/27/2023,Tennessee,ES,7,1,8
3/30/2023,North Carolina,C,0,1,1
04/10/2023,Kentucky,C,1,1,2
4/15/2023,Pennsylvania,C,0,2,2
4/24/2023,Oklahoma,C,1,0,1
4/27/2023,Virginia,HS,0,2,2
4/28/2023,Tennessee,HS,0,1,1
4/29/2023,Florida,C,0,1,1
05/01/2023,Michigan,HS,0,1,1
05/12/2023,Nebraska,C,0,0,0
05/12/2023,Tennessee,HS,1,0,1
5/24/2023,Pennsylvania,HS,1,0,1
06/02/2023,Massachusetts,HS,0,1,1
06/06/2023,Virginia,C,2,5,7
07/05/2023,District Of Columbia,C,1,0,1
7/13/2023,District Of Columbia,C,1,0,1
8/16/2023,Georgia,HS,0,1,1
8/18/2023,Georgia,C,2,0,2
8/22/2023,Texas,ES,0,0,0
8/22/2023,Alabama,C,0,2,2
8/25/2023,Oklahoma,HS,1,4,5
8/25/2023,North Carolina,C,0,1,1
8/28/2023,North Carolina,C,1,0,1
09/12/2023,Louisiana,C,1,2,3
9/15/2023,Illinois,HS,1,0,1
09/24/2023,Alabama,C,0,2,2
10/03/2023,Maryland,C,0,5,5
10/12/2023,Massachusetts,C,0,0,0
10/15/2023,Missouri,MS,0,0,0
10/15/2023,Mississippi,C,1,0,1
10/17/2023,California,C,0,1,1
10/23/2023,Wisconsin,MS,1,0,1
10/28/2023,Massachusetts,C,1,1,2
11/03/2023,Nevada,,0,2,2
11/13/2023,Texas,C,0,1,1
11/13/2023,Texas,C,1,0,1
11/27/2023,Illinois,C,0,0,0
11/28/2023,Virginia,C,0,0,0
12/06/2023,Nevada,C,4,3,7
01/04/2024,Iowa,HS,3,6,9
01/17/2024,Indiana,C,0,0,0
01/29/2024,Texas,HS,0,1,1
01/30/2024,Alabama,HS,0,2,2
02/06/2024,South Carolina,C,0,1,1
02/09/2024,Maine,,0,0,0
02/09/2024,California,C,0,0,0
02/14/2024,Georgia,HS,0,4,4
02/16/2024,Colorado,C,2,0,2
02/19/2024,Texas,,0,1,1
02/25/2024,Illinois,C,0,0,0
02/26/2024,Texas,HS,0,1,1
03/11/2024,Massachusetts,HS,0,0,0
04/02/2024,Massachusetts,,0,0,0
,,,,,0
04/12/2024,Texas,HS,0,1,1
04/21/2024,Delaware,C,1,0,1
04/22/2024,Washington,ES,1,0,1
04/15/2024,North Carolina,C,0,0,0
04/23/2024,North Carolina,C,0,0,0
04/24/2024,Texas,HS,1,0,1
04/30/2024,New York,C,0,0,0
05/01/2024,Wisconsin,MS,1,0,1
05/01/2024,New York,C,0,0,0
05/03/2024,D.C.,HS,0,1,1
05/18/2024,Georgia,C,1,0,1
05/19/2024,Missouri,C,0,2,2
06/06/2024,Washington,HS,1,0,1
,,,,,0
08/10/2024,Tennessee,C,0,2,2
08/14/2024,Virginia,C,0,4,4
08/18/2024,Mississippi,C,0,2,2
08/26/2024,Texas,C,2,0,2
08/30/2024,Alabama,C,0,1,1
08/21/2024,California,,0,1,1
09/03/2024,Alabama,C,0,1,1
09/04/2024,Georgia,HS,4,9,13
09/04/2024,New York,,0,1,1
09/06/2024,Maryland,HS,1,0,1
09/10/2024,Nebraska,HS,0,1,1
09/19/2024,Georgia,C,0,0,0
09/22/2024,Arizona,C,1,0,1
10/05/2024,Colorado,,1,0,1
